id;country;CO2;worker;water;energy;CO2_score;water_score;energy_score
1;FALSE;11,3;1;1112,4;51;5,659133333;0,500444444;5,217777778
2;FALSE;10,6;1;1298;67,9;5,6596;-0,324444444;5,142666667
3;TRUE;3,5;5;1288,7;11,3;5,664333333;-0,283111111;5,394222222
4;FALSE;42,7;4;1192,8;51,1;5,6382;0,143111111;5,217333333
5;TRUE;21,1;4;1414,7;8,7;5,6526;-0,843111111;5,405777778
6;TRUE;21,1;3;649,1;39,2;5,6526;2,559555556;5,270222222
8;FALSE;44,5;5;322,6;22,9;5,637;4,010666667;5,342666667
9;TRUE;36,4;1;1054,3;16,6;5,6424;0,758666667;5,370666667
10;TRUE;39,1;5;432,7;32,5;5,6406;3,521333333;5,3
11;TRUE;49,6;4;1253;27,6;5,6336;-0,124444444;5,321777778
13;FALSE;44,9;2;903,3;23,7;5,636733333;1,429777778;5,339111111
15;FALSE;1,5;5;393,2;45,6;5,665666667;3,696888889;5,241777778
17;FALSE;13,6;5;896,5;25;5,6576;1,46;5,333333333
18;FALSE;49,1;5;1470;12,1;5,633933333;-1,088888889;5,390666667
20;TRUE;23,7;5;1410,9;65;5,650866667;-0,826222222;5,155555556
21;TRUE;22,8;5;1478,1;44,1;5,651466667;-1,124888889;5,248444444
22;TRUE;38,1;4;1434,9;25,9;5,641266667;-0,932888889;5,329333333
24;FALSE;39;5;431,8;62,5;5,640666667;3,525333333;5,166666667
26;FALSE;23,9;2;1472,8;50,9;5,650733333;-1,101333333;5,218222222
27;TRUE;30,6;2;989,5;12;5,646266667;1,046666667;5,391111111
28;FALSE;46;4;720,2;47,1;5,636;2,243555556;5,235111111
29;FALSE;15,8;2;728,5;6,6;5,656133333;2,206666667;5,415111111
31;TRUE;8,2;2;373,7;22,6;5,6612;3,783555556;5,344
33;TRUE;14,4;2;899,2;34,8;5,657066667;1,448;5,289777778
34;TRUE;15,9;3;1037,8;20,7;5,656066667;0,832;5,352444444
35;FALSE;16,3;4;751,4;37,8;5,6558;2,104888889;5,276444444
36;TRUE;34,9;2;1406,4;4;5,6434;-0,806222222;5,426666667
37;FALSE;40,2;4;675,4;6,9;5,639866667;2,442666667;5,413777778
39;FALSE;18,1;2;731,3;10,1;5,6546;2,194222222;5,399555556
41;TRUE;13,2;5;1152,6;51,4;5,657866667;0,321777778;5,216
43;TRUE;2,7;3;840,2;9,8;5,664866667;1,710222222;5,400888889
45;TRUE;45,2;1;478,5;10,3;5,636533333;3,317777778;5,398666667
47;TRUE;34,5;2;1282,7;45,2;5,643666667;-0,256444444;5,243555556
48;FALSE;43,1;5;573;68,9;5,637933333;2,897777778;5,138222222
50;FALSE;41,1;5;808,5;8,2;5,639266667;1,851111111;5,408
51;TRUE;28,5;1;434,4;42,7;5,647666667;3,513777778;5,254666667
53;TRUE;44,6;1;699,4;57;5,636933333;2,336;5,191111111
55;FALSE;24;1;1415,8;3,3;;;
57;FALSE;31,3;2;1242,7;17,5;;;
58;FALSE;22,2;2;536,5;66,6;;;
60;FALSE;38,1;5;560,9;53;;;
61;FALSE;26,2;1;454,2;67,7;;;
63;TRUE;19;1;1355,3;33;;;
64;FALSE;3,5;4;1010,8;59;;;
66;TRUE;34;2;695;12,2;;;
68;FALSE;8,2;3;1309,4;62,7;;;
69;FALSE;47,9;2;1393,6;64,4;;;
70;FALSE;24,7;4;1188,8;18,3;;;
71;TRUE;3,8;4;496,3;16;;;
72;FALSE;10,9;2;609,1;27,8;;;
73;TRUE;23;3;1354,7;46;;;
74;FALSE;13,2;3;751,9;17;;;
75;TRUE;31,1;5;407,2;2,8;;;
77;TRUE;20,6;1;1253,8;51,6;;;
78;FALSE;14,6;3;549,6;24,1;;;
79;TRUE;30,9;1;502,3;49;;;
80;TRUE;16,8;5;1009,5;39,4;;;
82;TRUE;3,7;2;1251,8;45,8;;;
83;TRUE;45,3;4;1182,9;52,9;;;
84;TRUE;32,6;2;1077,1;54,3;;;
85;FALSE;40,7;4;833,5;28,4;;;
86;TRUE;32,2;4;1437,4;53,8;;;
87;FALSE;35,5;2;865,5;34,7;;;
88;FALSE;3,2;3;1175,7;21,4;;;
89;TRUE;28,6;4;368,2;22,4;;;
90;FALSE;13,2;3;866,8;7,7;;;
91;FALSE;45,6;5;1391,8;67,3;;;
92;TRUE;16,1;5;663,1;42;;;
93;FALSE;43;5;1410;8,3;;;
94;TRUE;30,8;2;369,8;44,8;;;
96;TRUE;4,5;4;853,7;31,9;;;
97;TRUE;1,8;3;1232,2;1,7;;;
98;TRUE;40,2;4;735,9;20,2;;;
99;TRUE;37,3;3;503;65,8;;;
100;TRUE;30,4;5;1364,6;47,8;;;
101;TRUE;26,6;4;501,6;62,7;;;
102;TRUE;0,8;1;1099,2;30;;;
103;TRUE;37,4;3;435,9;50,4;;;
104;TRUE;45,8;5;700,9;43,1;;;
106;FALSE;40,3;4;1492,6;54,2;;;
108;FALSE;22,6;2;905,4;50,3;;;
110;TRUE;27,3;1;769;64,9;;;
112;TRUE;5,9;2;1417,2;12,7;;;
114;FALSE;18;4;385,4;52,3;;;
115;TRUE;48,1;3;607,1;28,8;;;
116;FALSE;11,7;5;1089,6;8,1;;;
118;TRUE;13,5;4;1441,8;61;;;
119;FALSE;47,6;2;559,5;69,4;;;
120;TRUE;48,9;2;578;64,3;;;
122;TRUE;2,6;1;1357,6;10,2;;;
123;FALSE;19,2;2;1304,1;16,2;;;
124;FALSE;25,6;5;681,7;4,5;;;
125;TRUE;32,3;2;1117,3;5,9;;;
126;FALSE;27,9;4;464,5;59,1;;;
127;FALSE;0,7;3;1149,6;66,6;;;
128;FALSE;6,3;5;1186,8;46;;;
129;FALSE;42,4;2;676,6;4,5;;;
130;TRUE;38,6;5;507,7;7,4;;;
131;TRUE;15,6;3;521,6;38,7;;;
133;TRUE;49,9;3;1155,2;14,6;;;
135;TRUE;10,6;4;1312,6;27,3;;;
136;FALSE;24;1;1107;61,3;;;
138;FALSE;33;2;1011,3;26,4;;;
139;TRUE;16,3;5;461;66,7;;;
140;TRUE;33,4;3;1396,7;42,5;;;
141;FALSE;3,3;4;1089,5;69,8;;;
142;TRUE;39,5;1;863,3;67,8;;;
143;FALSE;45,7;1;1434,5;20;;;
144;TRUE;24,1;5;637;69,3;;;
145;TRUE;17,2;3;840,4;58,8;;;
146;FALSE;12,3;3;1287,1;56,7;;;
147;TRUE;40,6;3;890,4;34,2;;;
149;TRUE;7,3;5;1202;20,7;;;
151;FALSE;40,1;4;1195,4;7,2;;;
153;TRUE;32,5;1;1438;66,2;;;
154;TRUE;29,9;5;974,3;61,2;;;
155;TRUE;19,6;5;955,7;26;;;
156;TRUE;2,1;4;667,1;32,9;;;
157;FALSE;17,9;2;514,4;17,2;;;
158;FALSE;5,6;3;1445,7;32;;;
159;FALSE;45,9;4;1301,1;52,6;;;
160;TRUE;47,6;1;475;14,8;;;
161;FALSE;35,3;2;1494,1;4,8;;;
162;FALSE;32,3;2;682,9;34,2;;;
163;TRUE;3,7;5;617,1;51;;;
164;FALSE;34,9;1;604,1;40,6;;;
165;TRUE;28,5;3;789,7;51,9;;;
166;FALSE;37;3;949,2;59,7;;;
167;FALSE;12,3;2;599,4;1,2;;;
168;FALSE;24,1;1;1067,3;2,3;;;
169;TRUE;13,1;4;667,8;4,9;;;
170;FALSE;48,3;2;831,4;17,7;;;
171;TRUE;34,8;1;1428,7;25,9;;;
172;FALSE;2,5;2;1361;17,6;;;
173;TRUE;0,7;1;784,9;13,5;;;
174;TRUE;16;1;647,4;8,5;;;
175;TRUE;25,6;2;786,8;7,3;;;
